winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Sherwood,Stoney Range Sauvignon Blanc 2018,New Zealand,Waipara,3.7,117,https://www.vivino.com/sherwood-estate-stoney-range-sauvignon-blanc/w/1381576?year=2018&price_id=19345514
Gustave Lorentz,Riesling Alsace Réserve 2016,France,Alsace,3.6,1250,https://www.vivino.com/maison-gustave-lorentz-riesling-alsace-reserve/w/1214992?year=2016&price_id=14891409
Alamos,Chardonnay 2018,Argentina,Mendoza,3.6,1235,https://www.vivino.com/alamos-chardonnay/w/69694?year=2018&price_id=21387206
Marqués de Cáceres,Rueda Verdejo 2018,Spain,Rueda,3.6,868,https://www.vivino.com/marques-de-caceres-rueda-verdejo/w/2405791?year=2018&price_id=21190336
Tormaresca,Chardonnay Puglia 2018,Italy,Puglia,3.6,800,https://www.vivino.com/tormaresca-srl-chardonnay-puglia/w/60974?year=2018&price_id=20399257
Santa Cristina,Umbria Bianco 2018,Italy,Umbria,3.6,674,https://www.vivino.com/santa-cristina-umbria-bianco/w/1255437?year=2018&price_id=21306767
Casillero del Diablo,Reserva Privada Sauvignon Blanc 2015,Chile,Limarí Valley,3.6,509,https://www.vivino.com/casillero-del-diablo-reserva-privada-sauvignon-blanc/w/1135272?year=2015&price_id=12028904
Oyster Bay,Chardonnay 2018,New Zealand,Marlborough,3.6,506,https://www.vivino.com/oyster-bay-chardonnay/w/9528?year=2018&price_id=21304881
Penfolds,Koonunga Hill Autumn Riesling 2017,Australia,Barossa,3.6,498,https://www.vivino.com/penfolds-koonunga-hill-autumn-riesling/w/1162764?year=2017&price_id=19491107
Terrazas de los Andes,Reserva Chardonnay 2018,Argentina,Mendoza,3.6,399,https://www.vivino.com/terrazas-de-los-andes-reserva-chardonnay/w/1132928?year=2018&price_id=18622331
Bersano,Gavi del Comune di Gavi 2017,Italy,Gavi,3.6,318,https://www.vivino.com/bersano-vini-spa-gavi-del-comune-di-gavi/w/1183659?year=2017&price_id=20765851
Oyster Bay,Pinot Grigio (Pinot Gris) 2019,New Zealand,Hawke's Bay,3.6,184,https://www.vivino.com/oyster-bay-pinot-grigio-pinot-gris/w/2675835?year=2019&price_id=20551898
Bolla,Soave Classico Il Gambero 2018,Italy,Soave Classico,3.6,37,https://www.vivino.com/bolla-fratellispa-soave-classico-il-gambero/w/2602352?year=2018&price_id=21666712
Bastianich,Orsone Friulano 2017,Italy,Colli Orientali del Friuli,3.6,121,https://www.vivino.com/bastianich-orsone-friulano/w/1172267?year=2017&price_id=19531919
Michel Lynch,Bordeaux Sauvignon Blanc 2018,France,Bordeaux,3.6,119,https://www.vivino.com/michel-lynch-bordeaux-sauvignon-blanc/w/83065?year=2018&price_id=19818443
Zenato,Soave Classico 2018,Italy,Soave,3.6,90,https://www.vivino.com/zenato-soave-classico/w/1127740?year=2018&price_id=20279208
